Policy,Protocol,MessageSizeKB,TransferTimeSeconds,ThroughputKbps
RR,tcp,1,9.6625e-05,82794.3
RR,tcp,1,5.9709e-05,133983
RR,tcp,1,6.0583e-05,132050
RR,tcp,1,6.6083e-05,121060
RR,tcp,1,6.625e-05,120755
RR,tcp,1,5.7584e-05,138927
RR,tcp,1,6.4084e-05,124836
RR,tcp,1,6.575e-05,121673
RR,tcp,1,9.2917e-05,86098.3
RR,tcp,1,5.7291e-05,139638
RR,tcp,1,6.8084e-05,117502
RR,tcp,1,6.0667e-05,131867
RR,tcp,1,6.9875e-05,114490
RR,tcp,1,5.9625e-05,134172
RR,tcp,1,8.3584e-05,95712.1
RR,tcp,1,7.4791e-05,106965
RR,tcp,1,6.8e-05,117647
RR,tcp,1,6.3792e-05,125408
RR,tcp,1,7.55e-05,105960
RR,tcp,1,7e-05,114286
RR,tcp,1,6.2709e-05,127573
RR,tcp,1,6.3709e-05,125571
RR,tcp,1,7.2542e-05,110281
RR,tcp,1,6.8041e-05,117576
RR,tcp,1,0.000103125,77575.8
RR,tcp,1,6.175e-05,129555
RR,tcp,1,7.7333e-05,103449
RR,tcp,1,7.5292e-05,106253
RR,tcp,1,7.9167e-05,101052
RR,tcp,1,4.4042e-05,181645
RR,tcp,1,7.6e-05,105263
RR,tcp,1,7.9166e-05,101053
RR,tcp,1,0.000122417,65350.4
RR,tcp,1,0.000109125,73310.4
RR,tcp,1,7.9083e-05,101160
RR,tcp,1,7.225e-05,110727
RR,tcp,1,8.1333e-05,98361.1
RR,tcp,1,7.2791e-05,109904
RR,tcp,1,6.3125e-05,126733
RR,tcp,1,7.4e-05,108108
RR,tcp,1,5e-05,160000
RR,tcp,1,6.7083e-05,119255
RR,tcp,1,8.025e-05,99688.5
RR,tcp,1,5.5042e-05,145344
RR,tcp,1,8.0667e-05,99173.1
RR,tcp,1,5.1667e-05,154838
RR,tcp,1,6.0375e-05,132505
RR,tcp,1,7.3042e-05,109526
RR,tcp,1,7.7541e-05,103171
RR,tcp,1,6.1208e-05,130702
RR,tcp,1,7.3167e-05,109339
RR,tcp,1,6.3833e-05,125327
RR,tcp,1,6.9042e-05,115871
RR,tcp,1,4.4333e-05,180452
RR,tcp,1,7.525e-05,106312
RR,tcp,1,6.425e-05,124514
RR,tcp,1,4.9458e-05,161753
RR,tcp,1,5.5375e-05,144470
RR,tcp,1,6.6334e-05,120602
RR,tcp,1,5.5959e-05,142962
RR,tcp,1,7.2167e-05,110854
RR,tcp,1,7.1875e-05,111304
RR,tcp,1,0.000102,78431.4
RR,tcp,1,6.5542e-05,122059
RR,tcp,1,7.7958e-05,102619
RR,tcp,1,6.7458e-05,118592
RR,tcp,1,8.1916e-05,97661
RR,tcp,1,6.125e-05,130612
RR,tcp,1,8.5125e-05,93979.4
RR,tcp,1,8.2292e-05,97214.8
RR,tcp,1,8.6292e-05,92708.5
RR,tcp,1,7.475e-05,107023
RR,tcp,1,6.4958e-05,123157
RR,tcp,1,6.775e-05,118081
RR,tcp,1,9.2459e-05,86524.8
RR,tcp,1,7.0333e-05,113745
RR,tcp,1,0.000104584,76493.5
RR,tcp,1,7.9416e-05,100735
RR,tcp,1,0.000119375,67015.7
RR,tcp,1,8.35e-05,95808.4
RR,tcp,1,7.6542e-05,104518
RR,tcp,1,9.0417e-05,88478.9
RR,tcp,1,7.25e-05,110345
RR,tcp,1,6.2042e-05,128945
RR,tcp,1,8.1542e-05,98108.9
RR,tcp,1,6.2084e-05,128858
RR,tcp,1,8.5584e-05,93475.4
RR,tcp,1,3.6542e-05,218926
RR,tcp,1,5.475e-05,146119
RR,tcp,1,5.4084e-05,147918
RR,tcp,1,6.8625e-05,116576
RR,tcp,1,7.1291e-05,112216
RR,tcp,1,7.4917e-05,106785
RR,tcp,1,5.2584e-05,152138
RR,tcp,1,7.275e-05,109966
RR,tcp,1,6.9625e-05,114901
RR,tcp,1,7.45e-05,107383
RR,tcp,1,6.4042e-05,124918
RR,tcp,1,6.6833e-05,119701
RR,tcp,1,7.1292e-05,112215
RR,tcp,1,7.8167e-05,102345
RR,tcp,1,6.3167e-05,126648
RR,tcp,1,7.8208e-05,102291
RR,tcp,1,4.3292e-05,184792
RR,tcp,1,6.5125e-05,122841
RR,tcp,1,6.2791e-05,127407
RR,tcp,1,7.1209e-05,112345
RR,tcp,1,6.1792e-05,129467
RR,tcp,1,8.5084e-05,94024.7
RR,tcp,1,4.1458e-05,192966
RR,tcp,1,7.7916e-05,102675
RR,tcp,1,6.8834e-05,116222
RR,tcp,1,7.2375e-05,110535
RR,tcp,1,9.4959e-05,84246.9
RR,tcp,1,7.5708e-05,105669
RR,tcp,1,9.1459e-05,87470.9
RR,tcp,1,7.8959e-05,101318
RR,tcp,1,0.000174792,45768.7
RR,tcp,1,8.0167e-05,99791.7
RR,tcp,1,0.000124417,64299.9
RR,tcp,1,0.000118667,67415.5
RR,tcp,1,3.9875e-05,200627
RR,tcp,1,7.8459e-05,101964
RR,tcp,1,7.2416e-05,110473
RR,tcp,1,7.3167e-05,109339
RR,tcp,1,6.0542e-05,132140
RR,tcp,1,7.7e-05,103896
RR,tcp,1,4.775e-05,167539
RR,tcp,1,7.2292e-05,110662
RR,tcp,1,7.5209e-05,106370
RR,tcp,1,6.6916e-05,119553
RR,tcp,1,5.7791e-05,138430
RR,tcp,1,7.075e-05,113074
RR,tcp,1,5.6208e-05,142328
RR,tcp,1,6.3125e-05,126733
RR,tcp,1,8.3125e-05,96240.6
RR,tcp,1,5.5292e-05,144686
RR,tcp,1,5.7959e-05,138029
RR,tcp,1,7.9917e-05,100104
RR,tcp,1,6.5041e-05,122999
RR,tcp,1,5.9417e-05,134642
RR,tcp,1,0.000106625,75029.3
RR,tcp,1,6.6209e-05,120829
RR,tcp,1,9.0209e-05,88682.9
RR,tcp,1,8.1292e-05,98410.7
RR,tcp,1,6.4834e-05,123392
RR,tcp,1,9.9209e-05,80637.8
RR,tcp,1,6.8375e-05,117002
RR,tcp,1,7.2375e-05,110535
RR,tcp,1,4.0125e-05,199377
RR,tcp,1,7.4959e-05,106725
RR,tcp,1,6.45e-05,124031
RR,tcp,1,0.000114458,69894.6
RR,tcp,1,3.3375e-05,239700
RR,tcp,1,7.25e-05,110345
RR,tcp,1,8.4833e-05,94302.9
RR,tcp,1,8.2416e-05,97068.5
RR,tcp,1,4.975e-05,160804
RR,tcp,1,7.2958e-05,109652
RR,tcp,1,9.9208e-05,80638.7
RR,tcp,1,8.05e-05,99378.9
RR,tcp,1,5.075e-05,157635
RR,tcp,1,6.6959e-05,119476
RR,tcp,1,7.4209e-05,107804
RR,tcp,1,6.8667e-05,116504
RR,tcp,1,6.45e-05,124031
RR,tcp,1,6.6166e-05,120908
RR,tcp,1,5.125e-05,156098
RR,tcp,1,6.7167e-05,119106
RR,tcp,1,7.1e-05,112676
RR,tcp,1,8.7541e-05,91385.8
RR,tcp,1,5.5916e-05,143072
RR,tcp,1,6.5417e-05,122292
RR,tcp,1,5.375e-05,148837
RR,tcp,1,6.9916e-05,114423
RR,tcp,1,7.6708e-05,104292
RR,tcp,1,7.75e-05,103226
RR,tcp,1,7.4042e-05,108047
RR,tcp,1,8.3541e-05,95761.4
RR,tcp,1,6.3542e-05,125901
RR,tcp,1,6.4958e-05,123157
RR,tcp,1,5.4708e-05,146231
RR,tcp,1,8.9458e-05,89427.4
RR,tcp,1,6.9917e-05,114421
RR,tcp,1,8.8125e-05,90780.1
RR,tcp,1,5.1375e-05,155718
RR,tcp,1,6.475e-05,123552
RR,tcp,1,6.175e-05,129555
RR,tcp,1,7.9125e-05,101106
RR,tcp,1,6.2291e-05,128429
RR,tcp,1,9.5709e-05,83586.7
RR,tcp,1,6.85e-05,116788
RR,tcp,1,8.35e-05,95808.4
RR,tcp,1,6.575e-05,121673
RR,tcp,1,5.7292e-05,139636
RR,tcp,1,5.3042e-05,150824
RR,tcp,1,3.6167e-05,221196
RR,tcp,1,6.8917e-05,116082
RR,tcp,1,5.8416e-05,136949
RR,tcp,1,0.000118042,67772.5
RR,tcp,1,6.5958e-05,121289
RR,tcp,1,6.9833e-05,114559
RR,tcp,1,5.4084e-05,147918
RR,tcp,1,7.9209e-05,100999
RR,tcp,1,6.0709e-05,131776
RR,tcp,1,5.4375e-05,147126
RR,tcp,1,5.2875e-05,151300
RR,tcp,1,9e-05,88888.9
RR,tcp,1,7.8083e-05,102455
RR,tcp,1,8.5042e-05,94071.2
RR,tcp,1,6.0125e-05,133056
RR,tcp,1,6.425e-05,124514
RR,tcp,1,7.175e-05,111498
RR,tcp,1,8.0292e-05,99636.3
RR,tcp,1,6.6708e-05,119926
RR,tcp,1,7.1334e-05,112148
RR,tcp,1,6.8333e-05,117074
RR,tcp,1,7.7291e-05,103505
RR,tcp,1,6.4e-05,125000
RR,tcp,1,8.1458e-05,98210.1
RR,tcp,1,6.4959e-05,123155
RR,tcp,1,7.5708e-05,105669
RR,tcp,1,7.2541e-05,110282
RR,tcp,1,6.3375e-05,126233
RR,tcp,1,8.325e-05,96096.1
RR,tcp,1,6.0959e-05,131236
RR,tcp,1,6.2208e-05,128601
RR,tcp,1,6.7166e-05,119108
RR,tcp,1,7.1708e-05,111564
RR,tcp,1,8.0375e-05,99533.4
RR,tcp,1,6.4834e-05,123392
RR,tcp,1,6.4541e-05,123952
RR,tcp,1,7.9708e-05,100366
RR,tcp,1,7.3458e-05,108906
RR,tcp,1,4.1125e-05,194529
RR,tcp,1,0.000105333,75949.6
RR,tcp,1,8.3125e-05,96240.6
RR,tcp,1,9.925e-05,80604.5
RR,tcp,1,0.000101958,78463.7
RR,tcp,1,5.6375e-05,141907
RR,tcp,1,7.7291e-05,103505
RR,tcp,1,6.2e-05,129032
RR,tcp,1,7.275e-05,109966
RR,tcp,1,6.2208e-05,128601
RR,tcp,1,8.2417e-05,97067.4
RR,tcp,1,0.000115417,69313.9
RR,tcp,1,4.8958e-05,163405
RR,tcp,1,7.5292e-05,106253
RR,tcp,1,6.4667e-05,123711
RR,tcp,1,7.7875e-05,102729
RR,tcp,1,6.3542e-05,125901
RR,tcp,1,5.8e-05,137931
RR,tcp,1,8.0583e-05,99276.5
RR,tcp,1,8.6916e-05,92042.9
RR,tcp,1,7.1833e-05,111369
RR,tcp,1,9.75e-05,82051.3
RR,tcp,1,5.15e-05,155340
RR,tcp,1,8.2667e-05,96773.8
RR,tcp,1,5.6958e-05,140454
RR,tcp,1,8.3708e-05,95570.3
RR,tcp,1,0.00209825,3812.7
RR,tcp,1,0.000235667,33946.2
RR,tcp,1,5.2959e-05,151060
RR,tcp,1,0.000148625,53826.7
RR,tcp,1,0.0002735,29250.5
RR,tcp,1,1.4541e-05,550168
RR,tcp,1,9.9458e-05,80436
RR,tcp,1,4.8459e-05,165088
RR,tcp,1,2.7917e-05,286564
RR,tcp,1,2.7042e-05,295836
RR,tcp,1,2.975e-05,268908
RR,tcp,1,0.000135375,59095.1
RR,tcp,1,5.5084e-05,145233
RR,tcp,1,0.000131375,60894.4
RR,tcp,1,6.9666e-05,114834
RR,tcp,1,0.000562125,14231.7
RR,tcp,1,2.4e-05,333333
RR,tcp,1,0.000294333,27180.1
RR,tcp,1,0.000122166,65484.7
RR,tcp,1,5.9084e-05,135400
RR,tcp,1,3.8167e-05,209605
RR,tcp,1,0.000137875,58023.6
RR,tcp,1,6.0916e-05,131328
RR,tcp,1,2.5791e-05,310186
RR,tcp,1,0.000140458,56956.5
RR,tcp,1,0.000105,76190.5
RR,tcp,1,5.5834e-05,143282
RR,tcp,1,0.000270416,29584
RR,tcp,1,0.000102542,78016.8
RR,tcp,1,0.000169292,47255.6
RR,tcp,1,1.6792e-05,476417
RR,tcp,1,4.2792e-05,186951
RR,tcp,1,2.2042e-05,362943
RR,tcp,1,2.2541e-05,354909
RR,tcp,1,2.1709e-05,368511
RR,tcp,1,2.1916e-05,365030
RR,tcp,1,2.9458e-05,271573
RR,tcp,1,0.000367667,21758.8
RR,tcp,1,0.000160375,49883.1
RR,tcp,1,7.5334e-05,106194
RR,tcp,1,4.225e-05,189349
RR,tcp,1,0.000147208,54344.9
RR,tcp,1,0.000134958,59277.7
RR,tcp,1,0.000145959,54809.9
RR,tcp,1,0.000146333,54669.8
RR,tcp,1,8.025e-05,99688.5
RR,tcp,1,3.5542e-05,225086
RR,tcp,1,2.9459e-05,271564
RR,tcp,1,1.65e-05,484848
RR,tcp,1,0.000139,57554
RR,tcp,1,9.8542e-05,81183.7
RR,tcp,1,6.5916e-05,121367
RR,tcp,1,2.9542e-05,270801
RR,tcp,1,0.000157042,50941.8
RR,tcp,1,7.5833e-05,105495
RR,tcp,1,2.1625e-05,369942
RR,tcp,1,2.1583e-05,370662
RR,tcp,1,0.000162542,49218
RR,tcp,1,4.5625e-05,175342
RR,tcp,1,0.000106417,75176
RR,tcp,1,7.5875e-05,105437
RR,tcp,1,9.9875e-05,80100.1
RR,tcp,1,4.9417e-05,161888
