Policy,Protocol,MessageSizeKB,TransferTimeSeconds,ThroughputKbps
FCFS,tcp,1,6.5625e-05,121905
FCFS,tcp,1,5.8375e-05,137045
FCFS,tcp,1,5.5625e-05,143820
FCFS,tcp,1,5.8959e-05,135688
FCFS,tcp,1,6.9541e-05,115040
FCFS,tcp,1,7.0334e-05,113743
FCFS,tcp,1,0.000143333,55814.1
FCFS,tcp,1,6.2291e-05,128429
FCFS,tcp,1,0.000113167,70692
FCFS,tcp,1,7.85e-05,101911
FCFS,tcp,1,9.4542e-05,84618.5
FCFS,tcp,1,7.0917e-05,112808
FCFS,tcp,1,9.2083e-05,86878.1
FCFS,tcp,1,5.4792e-05,146007
FCFS,tcp,1,7.55e-05,105960
FCFS,tcp,1,7.3e-05,109589
FCFS,tcp,1,7.3791e-05,108414
FCFS,tcp,1,6.2958e-05,127069
FCFS,tcp,1,8.5041e-05,94072.3
FCFS,tcp,1,7.6792e-05,104178
FCFS,tcp,1,8.0333e-05,99585.5
FCFS,tcp,1,6.55e-05,122137
FCFS,tcp,1,8.725e-05,91690.5
FCFS,tcp,1,7.2208e-05,110791
FCFS,tcp,1,6.6917e-05,119551
FCFS,tcp,1,7.1709e-05,111562
FCFS,tcp,1,6.5375e-05,122371
FCFS,tcp,1,5.3875e-05,148492
FCFS,tcp,1,5.8166e-05,137537
FCFS,tcp,1,6.7792e-05,118008
FCFS,tcp,1,9.4541e-05,84619.4
FCFS,tcp,1,5.475e-05,146119
FCFS,tcp,1,8.9375e-05,89510.5
FCFS,tcp,1,6.0167e-05,132963
FCFS,tcp,1,8.2334e-05,97165.2
FCFS,tcp,1,5.7625e-05,138829
FCFS,tcp,1,8.2e-05,97561
FCFS,tcp,1,5.3875e-05,148492
FCFS,tcp,1,7.2584e-05,110217
FCFS,tcp,1,6.3416e-05,126151
FCFS,tcp,1,5.9667e-05,134077
FCFS,tcp,1,6.8416e-05,116932
FCFS,tcp,1,7.6792e-05,104178
FCFS,tcp,1,7.0375e-05,113677
FCFS,tcp,1,8.0291e-05,99637.6
FCFS,tcp,1,0.000117792,67916.3
FCFS,tcp,1,0.000100791,79372.2
FCFS,tcp,1,7.2875e-05,109777
FCFS,tcp,1,0.000128292,62357.7
FCFS,tcp,1,7.1167e-05,112412
FCFS,tcp,1,8.375e-05,95522.4
FCFS,tcp,1,6.4625e-05,123791
FCFS,tcp,1,6.8209e-05,117287
FCFS,tcp,1,4.925e-05,162437
FCFS,tcp,1,7.5958e-05,105321
FCFS,tcp,1,7.3125e-05,109402
FCFS,tcp,1,9.3583e-05,85485.6
FCFS,tcp,1,7.6541e-05,104519
FCFS,tcp,1,7.3375e-05,109029
FCFS,tcp,1,8.0583e-05,99276.5
FCFS,tcp,1,9.2208e-05,86760.4
FCFS,tcp,1,5.6917e-05,140556
FCFS,tcp,1,8.7792e-05,91124.5
FCFS,tcp,1,5.525e-05,144796
FCFS,tcp,1,8.1041e-05,98715.5
FCFS,tcp,1,6.1416e-05,130259
FCFS,tcp,1,6.7375e-05,118738
FCFS,tcp,1,6.2208e-05,128601
FCFS,tcp,1,5.9792e-05,133797
FCFS,tcp,1,6.8416e-05,116932
FCFS,tcp,1,5.1333e-05,155845
FCFS,tcp,1,5.7958e-05,138031
FCFS,tcp,1,7.7708e-05,102950
FCFS,tcp,1,6.2042e-05,128945
FCFS,tcp,1,9.7083e-05,82403.7
FCFS,tcp,1,7.9625e-05,100471
FCFS,tcp,1,8.2791e-05,96628.9
FCFS,tcp,1,4.9125e-05,162850
FCFS,tcp,1,7.6875e-05,104065
FCFS,tcp,1,6.8625e-05,116576
FCFS,tcp,1,8.8416e-05,90481.4
FCFS,tcp,1,3.8417e-05,208241
FCFS,tcp,1,7.65e-05,104575
FCFS,tcp,1,6.175e-05,129555
FCFS,tcp,1,0.000129,62015.5
FCFS,tcp,1,8.1833e-05,97760.1
FCFS,tcp,1,8.4083e-05,95144.1
FCFS,tcp,1,8.6833e-05,92130.9
FCFS,tcp,1,7.4792e-05,106963
FCFS,tcp,1,6.6458e-05,120377
FCFS,tcp,1,7.2e-05,111111
FCFS,tcp,1,6.8208e-05,117288
FCFS,tcp,1,7.4875e-05,106845
FCFS,tcp,1,5.5292e-05,144686
FCFS,tcp,1,6.1375e-05,130346
FCFS,tcp,1,7.5459e-05,106018
FCFS,tcp,1,7.225e-05,110727
FCFS,tcp,1,5.3334e-05,149998
FCFS,tcp,1,5.5167e-05,145014
FCFS,tcp,1,6.2833e-05,127322
FCFS,tcp,1,7.45e-05,107383
FCFS,tcp,1,5.8542e-05,136654
FCFS,tcp,1,9.7792e-05,81806.3
FCFS,tcp,1,7.4875e-05,106845
FCFS,tcp,1,7.1041e-05,112611
FCFS,tcp,1,5.6666e-05,141178
FCFS,tcp,1,7.6e-05,105263
FCFS,tcp,1,5.4625e-05,146453
FCFS,tcp,1,8.6625e-05,92352.1
FCFS,tcp,1,5.7833e-05,138329
FCFS,tcp,1,7.8458e-05,101965
FCFS,tcp,1,6.8708e-05,116435
FCFS,tcp,1,8.0666e-05,99174.4
FCFS,tcp,1,5.5167e-05,145014
FCFS,tcp,1,7.8375e-05,102073
FCFS,tcp,1,5.975e-05,133891
FCFS,tcp,1,8.3167e-05,96192
FCFS,tcp,1,7.6041e-05,105206
FCFS,tcp,1,9.975e-05,80200.5
FCFS,tcp,1,8.5917e-05,93113.1
FCFS,tcp,1,9.2042e-05,86916.8
FCFS,tcp,1,6.6083e-05,121060
FCFS,tcp,1,9.5667e-05,83623.4
FCFS,tcp,1,6.8458e-05,116860
FCFS,tcp,1,8.6e-05,93023.3
FCFS,tcp,1,6.8125e-05,117431
FCFS,tcp,1,8.6458e-05,92530.5
FCFS,tcp,1,6.75e-05,118519
FCFS,tcp,1,6.6084e-05,121058
FCFS,tcp,1,5.1167e-05,156351
FCFS,tcp,1,6.7625e-05,118299
FCFS,tcp,1,7.7208e-05,103616
FCFS,tcp,1,0.000132333,60453.6
FCFS,tcp,1,0.000109166,73282.9
FCFS,tcp,1,7.9417e-05,100734
FCFS,tcp,1,7.15e-05,111888
FCFS,tcp,1,0.000103209,77512.6
FCFS,tcp,1,7.2709e-05,110028
FCFS,tcp,1,8.1583e-05,98059.6
FCFS,tcp,1,8.6042e-05,92977.8
FCFS,tcp,1,0.00010725,74592.1
FCFS,tcp,1,8e-05,100000
FCFS,tcp,1,7.7625e-05,103060
FCFS,tcp,1,5.9625e-05,134172
FCFS,tcp,1,6.2209e-05,128599
FCFS,tcp,1,6.6333e-05,120604
FCFS,tcp,1,7.5875e-05,105437
FCFS,tcp,1,7.4916e-05,106786
FCFS,tcp,1,8.3291e-05,96048.8
FCFS,tcp,1,5.8125e-05,137634
FCFS,tcp,1,9.2416e-05,86565.1
FCFS,tcp,1,7.6291e-05,104862
FCFS,tcp,1,7.8791e-05,101534
FCFS,tcp,1,5.925e-05,135021
FCFS,tcp,1,7.8458e-05,101965
FCFS,tcp,1,0.000148167,53993.1
FCFS,tcp,1,6.3083e-05,126817
FCFS,tcp,1,6.6375e-05,120527
FCFS,tcp,1,8.125e-05,98461.5
FCFS,tcp,1,4.8625e-05,164524
FCFS,tcp,1,6.1625e-05,129817
FCFS,tcp,1,5.8417e-05,136946
FCFS,tcp,1,6.2833e-05,127322
